responseid,imp_accept,other_accept,self_accept,r10panelpad,opinion_ban,opinion_strength,video_mobile,video_ended,video_error,video_paused,video_played,video_timespent,video_report,r10pad4_comment,fairness,accept,trust,check_outcome,check_politician,r10pad1_9_backward_1,r10pad1_9_backward_2,r10pad1_9_backward_3,r10pad1_9_backward_4,r10pad1_9_backward_5,r10pad1_9_backward_6,r10pad1_9_backward_7,r10pad1_9_backward_8,video,treatment,favorability,mcheck_favorability,imp_accept2,other_accept2,self_accept2,opinion_strength2
1001373,4,4,4,1,Pro,2,0,1,NA,NA,1,132,3,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001391,2,5,3,1,Pro,1,0,1,NA,2,2,145,1,,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1001402,5,4,4,1,Pro,3,0,1,NA,1,1,120,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001416,1,1,1,1,Pro,5,1,NA,NA,NA,NA,105,1,,1,1,1,2,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1001434,4,2,3,1,Pro,3,0,1,NA,1,2,158,3,,4,4,3,2,2,NA,1,1,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1001445,4,3,4,1,Pro,3,0,1,NA,1,1,86,1,,4,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
1001450,5,NA,5,1,Pro,4,0,1,NA,1,1,110,1,,4,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,NA,High degree,Important
1001466,NA,NA,NA,1,Pro,4,0,1,NA,3,3,125,1,,4,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,NA,NA,NA,Important
1001556,3,4,3,1,Pro,2,1,NA,NA,NA,NA,120,1,,4,4,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1001564,3,3,3,1,Pro,2,0,1,NA,1,1,86,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,Low degree,Not important
1001575,1,4,3,1,Pro,4,1,NA,NA,NA,NA,110,1,,4,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,Low degree,Important
1001580,2,4,2,1,Pro,2,0,2,NA,6,5,105,1,,3,3,2,2,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1001589,3,4,3,1,Pro,4,1,NA,NA,NA,NA,87,1,,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,High degree,Low degree,Important
1001606,4,4,4,1,Pro,NA,0,1,NA,1,1,131,1,,4,3,4,2,2,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,NA
1001623,4,4,4,1,Pro,3,0,1,NA,NA,1,114,1,,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001630,4,3,3,1,Pro,4,0,1,NA,2,2,130,1,,3,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Important
1001657,4,4,4,1,Pro,5,0,1,NA,1,1,133,1,,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1001687,4,4,4,1,Pro,3,0,1,NA,1,1,91,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1001699,5,4,5,1,Pro,3,0,1,NA,1,1,121,1,,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
