"","responseid","r9pad1","r9pad2","r9pad3","r10panelpad","r10pad1","r10pad2","r10pad3_mobil","r10pad3a_ran","r10pad3b_ran","r10pad3ended","r10pad3error","r10pad3paused","r10pad3played","r10pad3_timespent","r10pad4","r10pad4_comment","r10pad5","r10pad6","r10pad7","r10pad8","r10pad9","r10pad1_9_backward_1","r10pad1_9_backward_2","r10pad1_9_backward_3","r10pad1_9_backward_4","r10pad1_9_backward_5","r10pad1_9_backward_6","r10pad1_9_backward_7","r10pad1_9_backward_8"
"90",1000089,2,2,2,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"91",1000090,NA,NA,NA,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"92",1000091,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"93",1000092,1,2,2,1,1,3,0,5,NA,1,NA,NA,1,88,1,"",2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"94",1000093,2,2,2,1,1,2,1,4,NA,NA,NA,NA,NA,95,1,"",2,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"95",1000094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1000095,1,2,2,1,1,4,0,3,NA,1,NA,1,1,127,1,"",1,1,2,2,1,NA,NA,NA,NA,NA,NA,1,1
"97",1000096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1000097,2,3,3,1,1,2,0,3,NA,1,NA,3,3,112,1,"",2,3,3,2,1,NA,1,1,NA,NA,NA,NA,NA
"99",1000098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1000099,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"101",1000100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1000101,3,2,3,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"103",1000102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
