"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"293",79,2,1,4,3,NA,3,1,NA,6,NA,6,NA,2
"294",74,2,2,7,4,NA,2,7,NA,7,NA,7,NA,2
"295",74,2,2,5,7,NA,7,7,NA,7,NA,7,NA,2
"296",73,1,2,5,2,NA,2,6,NA,6,NA,6,NA,2
"297",72,1,1,3,6,NA,6,3,NA,6,NA,5,NA,2
"298",71,1,2,3,4,NA,4,5,NA,5,NA,4,NA,2
"299",68,1,1,5,2,NA,3,2,NA,3,NA,3,NA,2
"300",68,1,1,4,7,NA,7,2,NA,7,NA,2,NA,2
"301",67,2,2,4,4,NA,4,6,NA,7,NA,7,NA,2
"302",66,1,1,6,5,NA,4,6,NA,7,NA,7,NA,2
"303",66,2,1,3,3,NA,3,4,NA,4,NA,4,NA,2
"304",65,2,1,1,7,NA,6,5,NA,5,NA,7,NA,2
"305",64,2,2,5,5,NA,6,7,NA,7,NA,7,NA,2
"306",64,1,2,3,5,NA,5,6,NA,7,NA,7,NA,2
"307",64,1,2,5,6,NA,6,7,NA,1,NA,7,NA,2
"308",63,2,1,4,4,NA,6,7,NA,5,NA,5,NA,2
"309",62,2,2,3,5,NA,5,6,NA,6,NA,6,NA,2
"310",62,1,1,3,3,NA,3,2,NA,3,NA,3,NA,2
"311",61,1,2,3,5,NA,5,5,NA,5,NA,6,NA,2
"312",60,2,1,6,4,NA,4,1,NA,6,NA,3,NA,2
"313",59,1,2,5,5,NA,5,6,NA,6,NA,6,NA,2
"314",59,2,2,3,7,NA,7,4,NA,7,NA,7,NA,2
"315",58,1,2,5,4,NA,4,5,NA,5,NA,4,NA,2
"316",58,2,1,1,5,NA,4,4,NA,5,NA,5,NA,2
"317",58,1,2,3,3,NA,2,3,NA,4,NA,4,NA,2
"318",58,2,1,7,5,NA,6,1,NA,1,NA,2,NA,2
"319",54,2,2,7,4,NA,4,7,NA,7,NA,1,NA,2
"320",53,2,2,3,4,NA,4,7,NA,4,NA,5,NA,2
"321",52,1,2,2,5,NA,5,4,NA,4,NA,5,NA,2
"322",52,1,2,1,5,NA,6,7,NA,7,NA,7,NA,2
"323",51,2,1,2,6,NA,4,4,NA,7,NA,7,NA,2
"324",51,1,2,7,6,NA,6,7,NA,7,NA,7,NA,2
"325",51,1,2,6,4,NA,4,5,NA,6,NA,7,NA,2
"326",51,1,1,4,4,NA,4,4,NA,4,NA,3,NA,2
"327",50,1,2,7,5,NA,6,7,NA,7,NA,6,NA,2
"328",50,1,1,2,2,NA,2,4,NA,4,NA,4,NA,2
"329",49,1,2,7,7,NA,7,7,NA,7,NA,7,NA,2
"330",47,2,2,4,4,NA,4,6,NA,7,NA,7,NA,2
"331",47,2,2,3,5,NA,5,7,NA,7,NA,7,NA,2
"332",46,2,2,7,3,NA,4,4,NA,7,NA,3,NA,2
"333",46,1,2,3,6,NA,6,6,NA,6,NA,6,NA,2
"334",44,1,2,6,5,NA,5,7,NA,7,NA,7,NA,2
"335",42,2,2,2,5,NA,2,6,NA,6,NA,6,NA,2
"336",42,2,1,2,3,NA,3,3,NA,4,NA,3,NA,2
"337",40,1,1,2,7,NA,7,2,NA,6,NA,6,NA,2
"338",40,2,1,2,3,NA,3,4,NA,3,NA,3,NA,2
"339",39,1,1,3,7,NA,7,2,NA,6,NA,6,NA,2
"340",39,2,1,5,7,NA,4,6,NA,6,NA,6,NA,2
"341",38,2,2,5,7,NA,6,5,NA,7,NA,7,NA,2
"342",36,1,1,2,2,NA,2,1,NA,2,NA,4,NA,2
"343",71,1,1,5,7,NA,5,1,NA,1,NA,1,NA,2
"344",34,1,1,3,5,NA,5,2,NA,6,NA,6,NA,2
"345",33,2,1,3,4,NA,4,4,NA,7,NA,5,NA,2
"346",32,2,1,3,4,NA,2,3,NA,5,NA,4,NA,2
"347",31,2,2,1,6,NA,5,7,NA,7,NA,7,NA,2
"348",27,2,1,2,4,NA,4,3,NA,3,NA,3,NA,2
"349",26,2,1,4,3,NA,3,3,NA,3,NA,3,NA,2
"350",26,1,1,6,6,NA,6,1,NA,3,NA,3,NA,2
"351",24,1,1,3,7,NA,7,6,NA,6,NA,5,NA,2
"352",22,1,2,3,5,NA,4,4,NA,6,NA,2,NA,2
"353",20,2,1,7,6,NA,5,1,NA,7,NA,5,NA,2
"354",20,1,2,6,6,NA,5,5,NA,5,NA,5,NA,2
"355",19,1,2,4,7,NA,5,6,NA,6,NA,7,NA,2
"356",19,2,2,1,4,NA,4,4,NA,5,NA,4,NA,2
"357",18,2,2,5,5,NA,5,5,NA,6,NA,6,NA,2
"358",58,1,1,3,1,NA,2,2,NA,2,NA,3,NA,3
"359",58,1,1,4,1,NA,3,3,NA,4,NA,4,NA,3
"360",29,1,1,5,2,NA,4,2,NA,4,NA,4,NA,3
"361",29,2,2,6,4,NA,4,5,NA,7,NA,4,NA,3
"362",61,2,1,4,3,NA,2,1,NA,3,NA,3,NA,3
"363",81,2,2,7,7,NA,4,7,NA,7,NA,7,NA,3
"364",80,2,1,3,4,NA,3,3,NA,6,NA,4,NA,3
"365",40,2,1,4,3,NA,2,2,NA,2,NA,3,NA,3
