"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1377",1010132,2,3,97,97,6,1,1,2,3,2,98,97,98,97,98,97,"timeTracker2_R13PAD6B",47,88
"1378",1010134,2,1,1,1,1,2,2,2,2,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",49,88
"1379",1010135,2,2,1,4,7,2,2,2,3,2,98,4,98,4,98,4,"timeTracker2_R13PAD6B",154,88
"1380",1010146,1,3,1,3,3,2,2,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",82,88
"1381",1010148,1,3,2,4,6,2,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",67,88
"1382",1010152,1,1,1,3,4,2,1,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",172,88
"1383",1010181,2,5,2,4,7,1,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",115,88
"1384",1010187,1,4,2,4,4,1,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",59,88
"1385",1010189,2,4,1,2,5,1,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",53,88
"1386",1010197,1,2,1,3,5,2,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",68,88
"1387",1010208,1,2,1,1,3,2,2,2,3,1,4,98,2,98,1,98,"timeTracker2_R13PAD6A",22,88
"1388",1010209,1,3,2,3,1,2,2,1,2,1,3,98,3,98,4,98,"timeTracker2_R13PAD6A",274,88
"1389",1010225,1,3,2,2,3,2,1,2,2,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",63,88
"1390",1010240,2,4,2,4,3,1,2,2,2,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",82,88
"1391",1010243,2,3,2,3,2,1,2,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",105,88
"1392",1010246,1,3,2,4,3,2,1,1,3,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",65,88
"1393",1010254,1,4,2,5,5,2,1,2,1,2,98,2,98,4,98,1,"timeTracker2_R13PAD6B",101,88
"1394",1010260,1,4,2,2,7,2,1,2,1,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",99,88
"1395",1010263,2,5,2,2,2,2,1,2,2,2,98,2,98,4,98,4,"timeTracker2_R13PAD6B",58,88
"1396",1010271,1,4,2,3,4,1,2,2,2,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",70,88
"1397",1010272,2,4,2,3,6,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",49,88
"1398",1010275,1,2,2,4,3,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",210,88
"1399",1010294,2,2,1,2,6,1,1,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",69,88
"1400",1010302,1,4,2,2,1,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",108,88
"1401",1010315,1,3,2,3,3,2,1,2,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",107,88
"1402",1010329,1,2,1,2,5,1,1,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",121,88
"1403",1010336,2,3,1,4,6,2,1,2,1,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",68,88
"1404",1010338,2,3,2,2,6,2,1,1,3,1,3,98,3,98,4,98,"timeTracker2_R13PAD6A",5301,88
"1405",1010339,2,5,2,3,2,1,1,2,3,1,1,98,3,98,2,98,"timeTracker2_R13PAD6A",179,88
"1406",1010341,1,4,1,3,2,1,1,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",75,88
"1407",1010345,2,4,2,3,3,1,1,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",80,88
"1408",1010353,1,2,2,4,1,2,2,1,2,1,3,98,4,98,2,98,"timeTracker2_R13PAD6A",69,88
"1409",1010355,1,3,2,4,4,2,1,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",48,88
"1410",1010356,2,5,2,1,7,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",5321,88
"1411",1010358,2,3,2,4,7,2,2,2,2,1,3,98,2,98,2,98,"timeTracker2_R13PAD6A",105,88
"1412",1010375,2,4,1,3,5,2,1,1,1,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",48,88
"1413",1010382,1,4,2,2,6,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",108,88
"1414",1010386,2,4,2,4,3,1,1,1,3,2,98,1,98,4,98,1,"timeTracker2_R13PAD6B",125,88
"1415",1010388,1,4,2,3,3,2,2,2,2,2,98,2,98,1,98,1,"timeTracker2_R13PAD6B",116,88
"1416",1010404,1,3,2,1,1,1,1,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",235,88
"1417",1010427,1,3,2,3,5,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",54,88
"1418",1010436,1,3,2,4,3,1,2,2,3,1,4,98,4,98,3,98,"timeTracker2_R13PAD6A",137,88
"1419",1010442,1,4,2,2,4,2,1,2,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",166,88
"1420",1010453,1,4,1,4,2,2,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",81,88
"1421",1010454,1,4,2,2,6,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",58,88
"1422",1010461,2,4,2,2,4,1,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",130,88
