"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1158",1008406,1,2,1,3,6,2,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",136
"1159",1008407,1,4,2,4,6,2,1,1,1,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",64
"1160",1008408,1,5,2,3,5,1,2,2,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",69
"1161",1008410,2,3,1,3,4,2,1,1,3,2,98,3,98,3,98,2,"timeTracker2_R13PAD6B",51
"1162",1008422,1,3,2,4,7,2,2,1,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",68
"1163",1008426,2,5,2,3,5,2,2,1,3,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",77
"1164",1008427,1,3,1,3,6,1,1,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",78
"1165",1008440,1,2,1,1,2,2,2,2,1,2,98,1,98,4,98,2,"timeTracker2_R13PAD6B",136
"1166",1008441,2,3,2,1,2,2,1,1,2,2,98,4,98,4,98,4,"timeTracker2_R13PAD6B",50
"1167",1008452,1,4,2,4,7,2,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",155
"1168",1008454,1,3,2,4,7,2,2,2,1,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",57
"1169",1008467,1,5,2,2,7,1,1,2,3,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",107
"1170",1008496,2,3,2,4,1,1,1,2,1,1,4,98,4,98,2,98,"timeTracker2_R13PAD6A",139
"1171",1008498,1,1,2,1,3,2,2,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",71
"1172",1008499,1,3,97,97,1,2,2,1,2,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",106
"1173",1008511,2,5,1,2,5,2,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",104
"1174",1008517,1,3,2,4,3,1,2,2,2,1,3,98,2,98,2,98,"timeTracker2_R13PAD6A",91
"1175",1008521,2,3,2,3,1,1,1,1,2,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",36
"1176",1008543,2,4,1,4,3,1,2,2,3,1,3,98,2,98,1,98,"timeTracker2_R13PAD6A",82
"1177",1008547,1,4,2,4,1,2,1,1,3,2,98,2,98,3,98,1,"timeTracker2_R13PAD6B",65
"1178",1008548,1,3,1,4,4,2,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50
"1179",1008550,1,3,1,2,4,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",148
"1180",1008564,1,3,2,2,7,2,1,2,1,1,3,98,4,98,3,98,"timeTracker2_R13PAD6A",53
"1181",1008568,2,4,2,2,4,2,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",98
"1182",1008572,2,4,2,4,7,2,1,2,3,2,98,2,98,4,98,4,"timeTracker2_R13PAD6B",110
"1183",1008589,1,4,1,3,3,1,1,1,3,1,4,98,3,98,2,98,"timeTracker2_R13PAD6A",73
"1184",1008590,2,3,1,1,5,1,1,2,2,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",419
"1185",1008595,2,3,1,2,5,1,2,1,2,1,2,98,5,98,1,98,"timeTracker2_R13PAD6A",324
"1186",1008602,2,3,2,4,1,2,1,1,3,2,98,4,98,4,98,5,"timeTracker2_R13PAD6B",57
"1187",1008603,1,4,2,2,3,1,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",42
"1188",1008612,1,4,2,3,7,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",73
"1189",1008629,2,3,1,3,7,2,1,2,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",66
"1190",1008636,1,4,1,3,2,1,2,2,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",81
"1191",1008641,1,1,2,1,5,2,1,1,1,1,3,98,5,98,3,98,"timeTracker2_R13PAD6A",66
"1192",1008659,1,4,2,4,4,1,2,1,1,2,98,1,98,2,98,2,"timeTracker2_R13PAD6B",88
"1193",1008673,1,3,2,5,6,2,1,2,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",312
"1194",1008683,1,3,2,1,4,2,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",55
"1195",1008699,1,2,1,4,4,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",217
"1196",1008704,1,3,2,1,6,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",81
"1197",1008709,1,4,2,3,6,2,2,2,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",82
